No,Publication Type,Authors,Article Title,Publication Year,DOI
1,J,"Ahmad, F; Alnowibet, KA; Alrasheedi, AF; Adhami, AY",A multi-objective model for optimizing the socio-economic performance of a pharmaceutical supply chain,2022,https://doi.org/10.1016/j.seps.2021.101126
2,J,"Akbarpour, M; Torabi, SA; Ghavamifar, A",Designing an integrated pharmaceutical relief chain network under demand uncertainty,2020,https://doi.org/10.1016/j.tre.2020.101867
3,J,"Asghari, M; Al-e-Hashem, SMJM",A green delivery-pickup problem for home hemodialysis machines; sharing economy in distributing scarce resources,2020,https://doi.org/10.1016/j.tre.2019.11.009
4,J,"Cao, CJ; Li, J; Liu, J; Liu, JH; Qiu, HG; Zhen, J",Sustainable development-oriented location-transportation integrated optimization problem regarding multi-period multi-type disaster medical waste during COVID-19 pandemic,2024,https://doi.org/10.1007/s10479-022-04820-2
5,J,"Diabat, A; Jabbarzadeh, A; Khosrojerdi, A",A perishable product supply chain network design problem with reliability and disruption considerations,2019,https://doi.org/10.1016/j.ijpe.2018.09.018
6,J,"Diaz, R; Kolachana, S; Gomes, RF",A simulation-based logistics assessment framework in global pharmaceutical supply chain networks,2023,https://doi.org/10.1080/01605682.2022.2077661
7,J,"Dolgui, A; Gusikhin, O; Ivanov, D; Li, XY; Stecke, K",A network-of-networks adaptation for cross-industry manufacturing repurposing,2024,https://doi.org/10.1080/24725854.2023.2253881
8,J,"Ebrahimi, S; Hosseini-Motlagh, SM; Nematollahi, M; Cardenas-Barron, LE",Coordinating double-level sustainability effort in a sustainable supply chain under cap-and-trade regulation,2022,https://doi.org/10.1016/j.eswa.2022.117872
9,C,"Elliazidi, S; Dkhissi, B",Optimization of green reverse logistics network Integrating artificial bee colony Algorithm and multi-agent system: case of medical waste,2020,https://doi.org/10.1109/GOL49479.2020.9314763
10,J,"Fadaki, M; Abareshi, A; Far, SM; Lee, PTW",Multi-period vaccine allocation model in a pandemic: A case study of COVID-19 in Australia,2022,https://doi.org/10.1016/j.tre.2022.102689
11,J,"Goodarzian, F; Abraham, A; Mu�uzuri, J; Taghipour, A; Ghasemi, P",A Benders decomposition approach for a new sustainable pharmaceutical supply chain network: a case study in France,2024,https://doi.org/10.1007/s10479-024-05936-3
12,J,"Goodarzian, F; Ghasemi, P; Gunasekaran, A; Labib, A",A fuzzy sustainable model for COVID-19 medical waste supply chain network,2024,https://doi.org/10.1007/s10700-023-09412-8
13,J,"Goodarzian, F; Ghasemi, P; Gunasekaren, A; Taleizadeh, AA; Abraham, A",A sustainable-resilience healthcare network for handling COVID-19 pandemic,2022,https://doi.org/10.1007/s10479-021-04238-2
14,J,"Goodarzian, F; Navaei, A; Ehsani, B; Ghasemi, P; Mu�uzuri, J",Designing an integrated responsive-green-cold vaccine supply chain network using Internet-of-Things: artificial intelligence-based solutions,2023,https://doi.org/10.1007/s10479-022-04713-4
15,J,"Greene, C; Zabinsky, ZB; Sarley, D; Akhlaghi, L",Inventory and order management for healthcare commodities during a pandemic,2024,https://doi.org/10.1007/s10479-024-05870-4
16,J,"Hasani, A; Khosrojerdi, A",Robust global supply chain network design under disruption and uncertainty considering resilience strategies: A parallel memetic algorithm for a real-life case study,2016,https://doi.org/10.1016/j.tre.2015.12.009
17,J,"Hasani, A; Zegordi, SH; Nikbakhsh, E",Robust closed-loop global supply chain network design under uncertainty: the case of the medical device industry,2015,https://doi.org/10.1080/00207543.2014.965349
18,J,"Hua, MN; Lai, IKW; Tang, HJ",Analysis of advertising and a points-exchange incentive in a reverse supply chain for unwanted medications in households based on Game Theory,2019,https://doi.org/10.1016/j.ijpe.2019.02.004
19,J,"Hussaini, Z; Nemati, A; Paydar, MM",A multi-period multi-season multi-objective mathematical model for guaranteeing the viability of supply chains under fluctuations: a healthcare closed-loop supply chain application,2023,https://doi.org/10.1007/s10479-023-05783-8
20,J,"Jabbarzadeh, A; Haughton, M; Pourmehdi, F",A robust optimization model for efficient and green supply chain planning with postponement strategy,2019,https://doi.org/10.1016/j.ijpe.2018.06.013
21,C,"Khadri, IJ; Viana, J",Simulation of IT Data Integration to Optimize an Antibiotics Supply Chain with System Dynamics,2022,https://doi.org/10.1109/WSC57314.2022.10015258
22,J,"Khosrojerdi, A; Taleizadeh, AA",Redesigning a supply chain considering financing and pricing decisions and long-term disruptions under a pandemic,2023,https://doi.org/10.1080/23302674.2023.2262385
23,J,"Larimi, NG; Azhdari, A; Ghousi, R; Du, B",Integrating GIS in reorganizing blood supply network in a robust-stochastic approach by combating disruption damages,2022,https://doi.org/10.1016/j.seps.2022.101250
24,J,"Lotfi, R; Rajabzadeh, M; Zamani, A; Rajabi, MS","Viable supply chain with vendor-managed inventory approach by considering blockchain, risk and robustness",2022,https://doi.org/10.1007/s10479-022-05119-y
25,J,"Lucker, F; Seifert, RW","Building up Resilience in a Pharmaceutical Supply Chain through Inventory, Dual Sourcing and Agility Capacity",2017,https://doi.org/10.1016/j.omega.2017.01.001
26,J,"Lucker, F; Seifert, RW; Bi�er, I",Roles of inventory and reserve capacity in mitigating supply chain disruption risk,2019,https://doi.org/10.1080/00207543.2018.1504173
27,J,"Madadi, A; Kurz, ME; Mason, SJ; Taaffe, KM",Supply chain design under quality disruptions and tainted materials delivery,2014,https://doi.org/10.1016/j.tre.2014.04.006
28,J,"Maleki, A; Hemmati, V; Abazari, SR; Aghsami, A; Rabbani, M",Optimal distribution and waste management of Covid-19 vaccines from vaccination centers' satisfaction perspective - A fuzzy time window-based VRP,2024,https://doi.org/10.1016/j.tre.2024.103454
29,J,"Nayeri, S; Sazvar, Z; Heydari, J",A global-responsive supply chain considering sustainability and resiliency: Application in the medical devices industry,2022,https://doi.org/10.1016/j.seps.2022.101303
30,J,"Peivastehgar, HR; Divsalar, A; Paydar, MM; Chitsaz, M",A green production routing problem for medical nitrous oxide: Model and solution approach,2023,https://doi.org/10.1016/j.eswa.2023.120704
31,J,"Pishvaee, MS; Razmi, J; Torabi, SA",An accelerated Benders decomposition algorithm for sustainable supply chain network design under uncertainty: A case study of medical needle and syringe supply chain,2014,https://doi.org/10.1016/j.tre.2014.04.001
32,J,"Razavi, N; Gholizadeh, H; Nayeria, S; Ashrafi, TA",A robust optimization model of the field hospitals in the sustainable blood supply chain in crisis logistics,2021,https://doi.org/10.1080/01605682.2020.1821586
